"Block","Trial","Arrow","Condition","Correct","RT","subj_num","Time","Task"
1,1,2,0,1,3.0776,1,1,"Flanker"
1,2,1,0,1,0.76228,1,1,"Flanker"
1,3,1,2,1,2.6548,1,1,"Flanker"
1,4,2,2,1,0.68876,1,1,"Flanker"
1,5,1,2,1,0.4793,1,1,"Flanker"
1,6,2,0,1,0.39623,1,1,"Flanker"
1,7,1,1,1,0.67126,1,1,"Flanker"
1,8,2,1,1,0.41732,1,1,"Flanker"
1,9,2,1,1,0.55807,1,1,"Flanker"
1,10,1,0,1,0.40478,1,1,"Flanker"
1,11,2,1,1,0.37825,1,1,"Flanker"
1,12,2,0,1,0.45474,1,1,"Flanker"
1,13,1,2,1,0.39288,1,1,"Flanker"
1,14,1,2,1,0.45197,1,1,"Flanker"
1,15,2,0,1,0.30542,1,1,"Flanker"
1,16,2,2,1,0.41378,1,1,"Flanker"
1,17,2,0,1,0.48755,1,1,"Flanker"
1,18,2,1,1,0.40941,1,1,"Flanker"
1,19,2,0,1,0.46895,1,1,"Flanker"
1,20,1,0,1,0.48776,1,1,"Flanker"
1,21,1,0,1,0.37491,1,1,"Flanker"
1,22,2,2,1,0.3453,1,1,"Flanker"
1,23,1,0,1,0.36691,1,1,"Flanker"
1,24,2,1,1,0.28695,1,1,"Flanker"
1,25,1,0,1,0.3693,1,1,"Flanker"
1,26,1,2,0,0.27544,1,1,"Flanker"
1,27,2,0,1,0.36488,1,1,"Flanker"
1,28,2,2,1,0.48172,1,1,"Flanker"
1,29,2,2,1,0.54146,1,1,"Flanker"
1,30,2,2,1,0.57299,1,1,"Flanker"
1,31,2,1,1,0.38165,1,1,"Flanker"
1,32,2,0,1,0.3762,1,1,"Flanker"
1,33,1,2,1,0.43684,1,1,"Flanker"
1,34,1,0,1,0.51381,1,1,"Flanker"
1,35,1,0,1,0.43308,1,1,"Flanker"
1,36,1,2,1,0.57292,1,1,"Flanker"
1,37,2,1,1,0.42916,1,1,"Flanker"
1,38,1,0,1,0.43442,1,1,"Flanker"
1,39,1,1,1,0.42258,1,1,"Flanker"
1,40,2,1,1,0.37803,1,1,"Flanker"
1,41,2,1,1,0.47146,1,1,"Flanker"
1,42,1,2,0,0.40294,1,1,"Flanker"
1,43,2,1,1,0.43405,1,1,"Flanker"
1,44,2,2,1,0.50127,1,1,"Flanker"
1,45,2,1,1,0.36475,1,1,"Flanker"
1,46,2,1,1,0.38286,1,1,"Flanker"
1,47,1,2,1,0.44167,1,1,"Flanker"
1,48,2,1,1,0.40793,1,1,"Flanker"
1,49,1,1,1,0.3621,1,1,"Flanker"
1,50,1,1,1,0.45494,1,1,"Flanker"
1,51,1,2,1,0.39661,1,1,"Flanker"
1,52,1,0,1,0.42267,1,1,"Flanker"
1,53,2,2,1,0.44328,1,1,"Flanker"
1,54,1,2,1,0.37507,1,1,"Flanker"
1,55,2,1,1,0.36423,1,1,"Flanker"
1,56,2,1,1,0.44837,1,1,"Flanker"
1,57,2,0,1,0.45262,1,1,"Flanker"
1,58,1,2,1,0.39365,1,1,"Flanker"
1,59,1,0,1,0.36475,1,1,"Flanker"
1,60,1,1,1,0.42415,1,1,"Flanker"
1,61,2,0,1,0.40348,1,1,"Flanker"
1,62,1,1,1,0.36081,1,1,"Flanker"
1,63,1,1,1,0.40372,1,1,"Flanker"
1,64,2,2,0,0.38236,1,1,"Flanker"
1,65,2,1,1,0.44301,1,1,"Flanker"
1,66,1,1,1,0.38388,1,1,"Flanker"
1,67,2,2,1,0.65066,1,1,"Flanker"
1,68,2,1,1,0.43859,1,1,"Flanker"
1,69,1,0,1,0.37867,1,1,"Flanker"
1,70,2,0,1,0.35875,1,1,"Flanker"
1,71,1,0,1,0.32961,1,1,"Flanker"
1,72,2,0,1,0.32266,1,1,"Flanker"
1,73,2,0,1,0.40746,1,1,"Flanker"
1,74,1,1,1,0.3864,1,1,"Flanker"
1,75,1,0,0,0.42035,1,1,"Flanker"
1,76,2,2,1,0.40163,1,1,"Flanker"
1,77,1,1,1,0.42256,1,1,"Flanker"
1,78,1,1,1,0.45876,1,1,"Flanker"
1,79,1,0,1,0.39851,1,1,"Flanker"
1,80,2,0,1,0.37274,1,1,"Flanker"
1,81,1,1,1,0.39024,1,1,"Flanker"
1,82,1,1,1,0.41889,1,1,"Flanker"
1,83,1,2,0,0.52689,1,1,"Flanker"
1,84,1,0,1,0.44631,1,1,"Flanker"
1,85,2,1,1,0.42612,1,1,"Flanker"
1,86,1,1,1,0.36761,1,1,"Flanker"
1,87,1,2,1,0.43457,1,1,"Flanker"
1,88,2,0,1,0.35477,1,1,"Flanker"
1,89,1,1,1,0.3391,1,1,"Flanker"
1,90,2,1,1,0.35641,1,1,"Flanker"
1,91,1,2,0,0.38538,1,1,"Flanker"
1,92,2,2,1,0.51698,1,1,"Flanker"
1,93,1,2,1,0.51381,1,1,"Flanker"
1,94,2,2,1,0.54599,1,1,"Flanker"
1,95,2,2,0,0.37012,1,1,"Flanker"
1,96,2,2,1,0.63675,1,1,"Flanker"
1,97,2,1,1,0.43061,1,1,"Flanker"
1,98,2,0,1,0.46679,1,1,"Flanker"
1,99,2,2,1,0.64306,1,1,"Flanker"
1,100,2,0,1,0.39511,1,1,"Flanker"
1,101,2,0,1,0.48022,1,1,"Flanker"
1,102,2,2,1,0.56428,1,1,"Flanker"
1,103,2,2,1,0.39633,1,1,"Flanker"
1,104,2,2,1,0.43189,1,1,"Flanker"
1,105,2,0,1,0.3807,1,1,"Flanker"
1,106,1,0,1,0.58459,1,1,"Flanker"
1,107,2,0,1,0.45584,1,1,"Flanker"
